2020-11-24 06:16:49 [INFO]:    Epoch       Batch       box      conf        id     total  nTargets      time
================================================================================
dataset summary
OrderedDict([('mot17', 547.0)])
total # identities: 548
start index
OrderedDict([('mot17', 0)])
================================================================================
2020-11-24 06:16:51 [INFO]:     0/29      0/5315     0.177      2.04      18.9       153        10      1.72
2020-11-24 06:16:55 [INFO]:     0/29     40/5315      0.14      2.04      13.7       125      21.6    0.0922
2020-11-24 06:16:58 [INFO]:     0/29     80/5315     0.152      2.04      13.9       127      21.5    0.0837
2020-11-24 06:17:02 [INFO]:     0/29    120/5315     0.146      2.04        14       127      22.9     0.088
2020-11-24 06:17:06 [INFO]:     0/29    160/5315     0.147      2.04        14       127        22    0.0979
2020-11-24 06:17:11 [INFO]:     0/29    200/5315     0.144      2.02      13.9       125      22.4    0.0844
2020-11-24 06:17:15 [INFO]:     0/29    240/5315     0.141      1.99        14       124      21.5     0.072
2020-11-24 06:17:19 [INFO]:     0/29    280/5315     0.135      1.93        14       121      21.5    0.0827
2020-11-24 06:17:23 [INFO]:     0/29    320/5315     0.128      1.85      13.8       116      21.4     0.108
2020-11-24 06:17:27 [INFO]:     0/29    360/5315     0.124      1.76      13.9       112      21.5     0.164
2020-11-24 06:17:31 [INFO]:     0/29    400/5315     0.119      1.65      13.9       106      21.2      0.11
2020-11-24 06:17:35 [INFO]:     0/29    440/5315     0.115      1.55      13.9       101      21.4       0.1
2020-11-24 06:17:39 [INFO]:     0/29    480/5315     0.111      1.46        14      95.2      21.3    0.0864
2020-11-24 06:17:43 [INFO]:     0/29    520/5315     0.107      1.37        14      89.8      20.9     0.085
2020-11-24 06:17:47 [INFO]:     0/29    560/5315     0.103      1.29        14      84.5      20.9     0.211
2020-11-24 06:17:51 [INFO]:     0/29    600/5315    0.0997      1.22      13.9      79.5      20.8    0.0899
2020-11-24 06:17:55 [INFO]:     0/29    640/5315    0.0968      1.15      13.9      74.9      20.7     0.134
2020-11-24 06:17:59 [INFO]:     0/29    680/5315    0.0943      1.09      13.8      70.6      20.9     0.113
2020-11-24 06:18:03 [INFO]:     0/29    720/5315    0.0914      1.04      13.8      66.7        21    0.0933
2020-11-24 06:18:07 [INFO]:     0/29    760/5315    0.0889     0.996      13.7      63.1        21    0.0901
2020-11-24 06:18:12 [INFO]:     0/29    800/5315    0.0867     0.953      13.6      59.8        21     0.178
2020-11-24 06:18:17 [INFO]:     0/29    840/5315    0.0848     0.915      13.6      56.8      20.9    0.0951
2020-11-24 06:18:21 [INFO]:     0/29    880/5315     0.084     0.879      13.6      54.1      20.8    0.0847
2020-11-24 06:18:24 [INFO]:     0/29    920/5315    0.0872     0.847      13.5      51.8      20.8    0.0871
2020-11-24 06:18:28 [INFO]:     0/29    960/5315     0.087      0.82      13.5      49.5      20.7     0.098
2020-11-24 06:18:32 [INFO]:     0/29   1000/5315    0.0853     0.793      13.4      47.4      20.7    0.0824
2020-11-24 06:18:36 [INFO]:     0/29   1040/5315    0.0872     0.767      13.4      45.4      20.6      0.11
2020-11-24 06:18:40 [INFO]:     0/29   1080/5315    0.0872     0.744      13.4      43.6      20.6     0.125
2020-11-24 06:18:44 [INFO]:     0/29   1120/5315    0.0859     0.724      13.3        42      20.4    0.0899
2020-11-24 06:18:48 [INFO]:     0/29   1160/5315    0.0841     0.703      13.3      40.3      20.4     0.121
2020-11-24 06:18:52 [INFO]:     0/29   1200/5315    0.0826     0.684      13.3      38.8      20.3    0.0718
2020-11-24 06:18:56 [INFO]:     0/29   1240/5315    0.0811     0.667      13.2      37.4      20.3     0.088
2020-11-24 06:19:00 [INFO]:     0/29   1280/5315    0.0798     0.651      13.2      36.1      20.2    0.0731
2020-11-24 06:19:04 [INFO]:     0/29   1320/5315    0.0786     0.635      13.2      34.9      20.1    0.0748
2020-11-24 06:19:08 [INFO]:     0/29   1360/5315    0.0774      0.62      13.1      33.7      20.1    0.0887
2020-11-24 06:19:12 [INFO]:     0/29   1400/5315    0.0762     0.605      13.1      32.6      20.1    0.0736
2020-11-24 06:19:16 [INFO]:     0/29   1440/5315    0.0752     0.592      13.1      31.6      20.1    0.0805
2020-11-24 06:19:19 [INFO]:     0/29   1480/5315    0.0744      0.58      13.1      30.6      20.1    0.0762
2020-11-24 06:19:24 [INFO]:     0/29   1520/5315    0.0735     0.568      13.1      29.6      20.2     0.097
2020-11-24 06:19:27 [INFO]:     0/29   1560/5315    0.0725     0.556      13.1      28.8      20.2    0.0797
2020-11-24 06:19:31 [INFO]:     0/29   1600/5315    0.0716     0.546      13.1      27.9      20.3     0.121
2020-11-24 06:19:35 [INFO]:     0/29   1640/5315    0.0707     0.535        13      27.1      20.2     0.108
2020-11-24 06:19:39 [INFO]:     0/29   1680/5315    0.0698     0.526        13      26.3      20.1    0.0758
2020-11-24 06:19:43 [INFO]:     0/29   1720/5315    0.0692     0.516        13      25.6      20.1       0.1
2020-11-24 06:19:47 [INFO]:     0/29   1760/5315    0.0686     0.507        13      24.9      20.2    0.0744
2020-11-24 06:19:52 [INFO]:     0/29   1800/5315    0.0677     0.498      12.9      24.2      20.2     0.124
2020-11-24 06:19:56 [INFO]:     0/29   1840/5315     0.067      0.49      12.9      23.6      20.2     0.107
2020-11-24 06:20:00 [INFO]:     0/29   1880/5315    0.0664     0.482      12.9        23      20.3    0.0982
2020-11-24 06:20:04 [INFO]:     0/29   1920/5315    0.0658     0.475      12.9      22.4      20.3    0.0901
2020-11-24 06:20:08 [INFO]:     0/29   1960/5315    0.0651     0.468      12.9      21.8      20.2     0.137
2020-11-24 06:20:12 [INFO]:     0/29   2000/5315    0.0645      0.46      12.9      21.3      20.2    0.0916
2020-11-24 06:20:16 [INFO]:     0/29   2040/5315    0.0639     0.454      12.8      20.7      20.2     0.116
2020-11-24 06:20:20 [INFO]:     0/29   2080/5315    0.0633     0.448      12.8      20.2      20.2    0.0963
2020-11-24 06:20:24 [INFO]:     0/29   2120/5315    0.0628     0.441      12.8      19.8      20.3     0.112
2020-11-24 06:20:27 [INFO]:     0/29   2160/5315    0.0626     0.436      12.8      19.3      20.2    0.0805
2020-11-24 06:20:31 [INFO]:     0/29   2200/5315    0.0638      0.43      12.7      18.9      20.2     0.102
2020-11-24 06:20:35 [INFO]:     0/29   2240/5315    0.0632     0.425      12.7      18.5      20.2    0.0697
2020-11-24 06:20:39 [INFO]:     0/29   2280/5315    0.0627      0.42      12.7      18.1      20.2     0.083
2020-11-24 06:20:42 [INFO]:     0/29   2320/5315    0.0622     0.415      12.7      17.7      20.3     0.102
2020-11-24 06:20:46 [INFO]:     0/29   2360/5315    0.0626     0.411      12.7      17.3      20.3    0.0726
2020-11-24 06:20:50 [INFO]:     0/29   2400/5315    0.0622     0.406      12.7        17      20.3    0.0993
2020-11-24 06:20:53 [INFO]:     0/29   2440/5315    0.0617     0.401      12.7      16.6      20.3    0.0825
2020-11-24 06:20:57 [INFO]:     0/29   2480/5315    0.0612     0.397      12.6      16.2      20.3    0.0844
2020-11-24 06:21:01 [INFO]:     0/29   2520/5315    0.0607     0.393      12.6      15.9      20.3    0.0752
2020-11-24 06:21:04 [INFO]:     0/29   2560/5315    0.0602     0.389      12.6      15.6      20.4    0.0756
2020-11-24 06:21:08 [INFO]:     0/29   2600/5315    0.0598     0.385      12.6      15.3      20.4     0.075
2020-11-24 06:21:12 [INFO]:     0/29   2640/5315    0.0594     0.381      12.6      14.9      20.4    0.0757
2020-11-24 06:21:15 [INFO]:     0/29   2680/5315     0.059     0.377      12.6      14.6      20.4    0.0764
2020-11-24 06:21:19 [INFO]:     0/29   2720/5315    0.0587     0.373      12.6      14.3      20.4    0.0776
2020-11-24 06:21:23 [INFO]:     0/29   2760/5315    0.0585     0.369      12.6      14.1      20.4    0.0826
2020-11-24 06:21:26 [INFO]:     0/29   2800/5315    0.0581     0.366      12.5      13.8      20.4    0.0733
2020-11-24 06:21:30 [INFO]:     0/29   2840/5315    0.0578     0.363      12.5      13.5      20.3    0.0714
2020-11-24 06:21:34 [INFO]:     0/29   2880/5315    0.0574     0.359      12.5      13.3      20.3    0.0755
2020-11-24 06:21:39 [INFO]:     0/29   2920/5315     0.057     0.356      12.5        13      20.3     0.124
2020-11-24 06:21:43 [INFO]:     0/29   2960/5315    0.0567     0.353      12.5      12.7      20.3     0.118
2020-11-24 06:21:47 [INFO]:     0/29   3000/5315    0.0564      0.35      12.5      12.5      20.3     0.101
2020-11-24 06:21:51 [INFO]:     0/29   3040/5315    0.0561     0.347      12.5      12.3      20.3       0.2
2020-11-24 06:21:56 [INFO]:     0/29   3080/5315    0.0558     0.344      12.5        12      20.3     0.155
2020-11-24 06:22:00 [INFO]:     0/29   3120/5315    0.0555     0.341      12.4      11.8      20.3     0.142
